,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Hnf4a,Pigr,Pigr,Pigr,Pigr,Pigr,Pigr,Gpam,Gpam,Gpam,Gpam,Gpam,Gpam,Acly,Acly,Acly,Acly,Acly,Acly
,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1,TP,FP,FN,precision,recall,F1
47,7700,3877,421,0.6651118597218623,0.9481590937076715,0.7818052594171997,29289,30081,616,0.4933299646286003,0.979401437886641,0.6561523382805936,7005,8947,143,0.439129889669007,0.9799944040290991,0.6064935064935065,2497,5341,122,0.31857616738964023,0.9534173348606338,0.47757483025724395
48,7735,4047,386,0.6565099304023087,0.9524689077699791,0.7772697583278904,29352,30606,553,0.48954267987591316,0.9815081090118709,0.6532610751922372,7019,9150,129,0.43410229451419385,0.981952993844432,0.6020500064330746,2503,5511,116,0.31232842525580234,0.9557082856051928,0.4707984576319007
49,7760,4271,361,0.6450004155930513,0.9555473463859131,0.7701468836840015,29394,31057,511,0.486245057980844,0.9829125564286909,0.6506264110850415,7033,9414,115,0.4276159785979206,0.9839115836597649,0.5961432506887052,2508,5698,111,0.30563002680965146,0.9576174112256587,0.46337182448036957
50,7792,4614,329,0.6280831855553765,0.9594877478143086,0.7591952063136357,29439,31722,466,0.48133614558296955,0.9844173215181408,0.646542068389959,7049,9747,99,0.41968325791855204,0.9861499720201455,0.5887905111927833,2516,5952,103,0.2971185640056684,0.9606720122184039,0.4538648868043654
51,7869,5274,252,0.5987217530244237,0.9689693387513852,0.7401241534988713,29539,33035,366,0.4720650749512577,0.9877612439391407,0.6388261118740471,7075,10457,73,0.40354779831165866,0.9897873531057638,0.5733387358184764,2530,6469,89,0.28114234914990555,0.9660175639557083,0.43553107247374767
52,7901,5653,220,0.5829275490630073,0.9729097401797808,0.729042675893887,29594,33667,311,0.467807970155388,0.9896004012706905,0.6352961380761222,7091,10800,57,0.3963445307696607,0.9920257414661444,0.5663964215823316,2540,6757,79,0.27320641067010865,0.96983581519664,0.42631755622692175
53,7934,5968,187,0.5707092504675586,0.9769732791528137,0.7205194569313897,29634,34334,271,0.46326288144072036,0.9909379702390905,0.6313636508900323,7099,11166,49,0.3886668491650698,0.9931449356463347,0.5586904340298273,2555,7016,64,0.26695225159335495,0.9755631920580374,0.41919606234618545
54,7968,6448,153,0.5527192008879024,0.981159955670484,0.7071038736300306,29664,34986,241,0.4588399071925754,0.9919411469653904,0.6274443445613663,7104,11561,44,0.38060541119742836,0.9938444320089536,0.5504203308410491,2567,7359,52,0.2586137416884949,0.9801450935471554,0.4092467118373854
55,7990,6844,131,0.5386274774167453,0.9838689816525058,0.69614463079939,29688,35521,217,0.4552745786624546,0.9927436883464303,0.6242614126206446,7108,11916,40,0.37363330529857025,0.9944040290990487,0.5431759131896684,2572,7671,47,0.251098311041687,0.9820542191676213,0.3999378012750739
56,8031,7621,90,0.5130973677485305,0.9889176209826376,0.6756404324233375,29746,36661,159,0.4479347056786182,0.9946831633506102,0.6177008057147604,7114,12586,34,0.36111675126903553,0.9952434247341914,0.5299463647199046,2587,8186,32,0.24013738048825767,0.9877815960290187,0.38635005973715647
57,8048,7920,73,0.5040080160320641,0.9910109592414728,0.6681887998671592,29767,37133,138,0.4449476831091181,0.9953853870590202,0.6149888952016942,7121,12827,27,0.35697814317224785,0.9962227196418578,0.5256126365515205,2595,8404,24,0.23593053913992182,0.9908361970217641,0.38111323248641504
